Time (s): 0
3	nuc: 1. 
44	N: 1. 
Time (s): 51
44	N: 1. 
1	P: 1. S: 1. 
1	S: 1. 
3	nuc: 1. 
1	S: 2. 
1	P: 1. 
Time (s): 52
1	P: 1. S: 1. 
1	S: 1. 
1	P: 1. N: 1. S: 2. 
3	nuc: 1. 
43	N: 1. 
Time (s): 53
1	P: 1. S: 1. 
1	S: 2. 
1	P: 1. N: 1. S: 1. 
3	nuc: 1. 
43	N: 1. 
Time (s): 54
1	P: 1. N: 1. S: 1. 
1	S: 1. 
1	P: 1. N: 1. S: 2. 
3	nuc: 1. 
42	N: 1. 
Time (s): 55
1	S: 1. 
1	P: 1. N: 1. S: 1. 
1	P: 1. N: 1. S: 2. 
3	nuc: 1. 
42	N: 1. 
Time (s): 56
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 57
44	N: 1. 
3	nuc: 1. 
1	S: 2. 
1	P: 1. S: 1. 
1	S: 1. 
1	P: 1. 
Time (s): 58
1	P: 1. 
2	S: 1. 
1	P: 1. N: 1. S: 2. 
3	nuc: 1. 
43	N: 1. 
Time (s): 59
2	P: 1. 
1	S: 2. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 60
2	P: 1. 
1	S: 2. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 61
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 62
2	P: 1. 
1	S: 2. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 63
44	N: 1. 
3	nuc: 1. 
1	S: 2. 
1	P: 1. S: 1. 
1	S: 1. 
1	P: 1. 
Time (s): 64
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 65
2	P: 1. 
2	S: 1. 
1	S: 2. 
3	nuc: 1. 
44	N: 1. 
Time (s): 66
1	P: 1. 
2	S: 1. 
43	N: 1. 
3	nuc: 1. 
1	P: 1. N: 1. S: 2. 
Time (s): 67
43	N: 1. 
1	S: 2. 
3	nuc: 1. 
1	P: 1. N: 1. S: 1. 
1	S: 1. 
1	P: 1. 
Time (s): 68
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 69
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 70
2	P: 1. 
2	S: 1. 
1	S: 2. 
3	nuc: 1. 
44	N: 1. 
Time (s): 71
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 72
2	P: 1. 
2	S: 1. 
1	S: 2. 
3	nuc: 1. 
44	N: 1. 
Time (s): 73
44	N: 1. 
1	P: 1. S: 1. 
1	S: 1. 
3	nuc: 1. 
1	S: 2. 
1	P: 1. 
Time (s): 74
1	P: 1. 
43	N: 1. 
1	P: 1. N: 1. S: 1. 
3	nuc: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 75
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 76
1	P: 1. 
2	S: 1. 
1	P: 1. N: 1. S: 2. 
3	nuc: 1. 
43	N: 1. 
Time (s): 77
1	P: 1. S: 2. 
1	P: 1. 
2	S: 1. 
3	nuc: 1. 
44	N: 1. 
Time (s): 78
2	P: 1. 
2	S: 1. 
1	S: 2. 
3	nuc: 1. 
44	N: 1. 
Time (s): 79
1	P: 1. 
43	N: 1. 
3	nuc: 1. 
1	S: 2. 
1	P: 1. N: 1. S: 1. 
