,ID,CN0,CS0,CP0,KPS,KPN,KPP,gamma,kaPS,kaPN,kaPP,kbPS,kbPN,kbPP
0,0,0.0005714285714285715,0.0,4.761904761904762e-06,33211.5576220525,332.1155762205,0.0,10.0,1000,200,0.0,0.03011,0.6022,10
1,1,0.0005714285714285715,0.0,4.761904761904762e-06,33211.5576220525,332.1155762205,1660.5778811026,10.0,1000,200,1660.5778811026,0.03011,0.6022,1
2,2,0.0005714285714285715,0.0,4.761904761904762e-06,33211.5576220525,332.1155762205,16605.7788110262,10.0,1000,200,16605.7788110262,0.03011,0.6022,1
