,ID,CN0,CS0,CP0,KPS,KPN,KPP,gamma,kaPS,kaPN,kaPP,kbPS,kbPN,kbPP
0,0,0.0005714285714285715,0.0,9.523809523809523e-06,166057.7881102624,166.0577881103,0.0,100.0,1000,200,0.0,0.006022,1.2044,10.0
1,1,0.0005714285714285715,0.0,9.523809523809523e-06,166057.7881102624,166.0577881103,166.0577881103,100.0,1000,200,1.6605778811,0.006022,1.2044,0.01
2,2,0.0005714285714285715,0.0,9.523809523809523e-06,166057.7881102624,166.0577881103,1660.5778811026,100.0,1000,200,16.605778811,0.006022,1.2044,0.01
3,3,0.0005714285714285715,0.0,9.523809523809523e-06,166057.7881102624,166.0577881103,16605.7788110262,100.0,1000,200,166.0577881103,0.006022,1.2044,0.01
