,ID,N,P,PP,PN,PPN,PNPN
0,0.0,29913561.747428346,913561.7474283422,0.0,86438.25257165771,0.0,0.0
1,1.0,29909390.551482867,903735.0764665842,2583.3438928255064,85496.56136110272,488.7870912642449,2312.05010345383
2,2.0,29878395.447230387,830625.1392160407,21822.780658147352,78498.66798852866,4124.746850516014,19490.569106840547
3,3.0,29760261.458061546,550503.1348598752,95856.05209171126,51819.88969624428,18046.21892797862,84936.21698631754
