Time (s): 1e-06
10	P: 2. N: 2. 
580	N: 1. 
Time (s): 1
2	P: 2. 
1	P: 2. N: 1. 
3	P: 1. 
1	P: 1. N: 1. 
5	P: 2. N: 2. 
588	N: 1. 
Time (s): 2
1	P: 2. 
7	P: 1. 
3	P: 1. N: 1. 
2	P: 2. N: 2. 
2	P: 2. N: 1. 
591	N: 1. 
Time (s): 3
1	P: 2. N: 1. 
3	P: 2. 
8	P: 1. 
2	P: 1. N: 1. 
1	P: 2. N: 2. 
595	N: 1. 
Time (s): 4
2	P: 2. 
14	P: 1. 
1	P: 2. N: 2. 
598	N: 1. 
Time (s): 5
1	P: 2. 
17	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
Time (s): 6
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
Time (s): 7
19	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
Time (s): 8
20	P: 1. 
600	N: 1. 
Time (s): 9
19	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
Time (s): 10
19	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
