,ID,N,P,PP,PN,PPN,PNPN
0,0.0,119840666.71088414,840653.416176102,5.588225444223831,159327.6492026362,2.118254220133987,1.7608298811069385
1,1.0,119838143.95999952,825329.565336231,5386.35235420982,156420.0522927041,2041.689895282475,1697.1489361655508
2,2.0,119821296.29899342,722969.2132427642,41331.34722658667,137001.0094969318,15664.391208341014,13019.150196965324
3,3.0,119730776.29776469,172309.09191568807,234777.42845130595,32627.5107751367,88912.34921372643,73841.92098907057
4,4.0,119840666.71088414,840653.416176102,5.588225444223831,159327.6492026362,2.118254220133987,1.7608298811069385
5,5.0,119838143.95999952,825329.565336231,5386.35235420982,156420.0522927041,2041.689895282475,1697.1489361655508
6,6.0,119821296.29899342,722969.2132427642,41331.34722658667,137001.0094969318,15664.391208341014,13019.150196965324
7,7.0,119730776.29776469,172309.09191568807,234777.42845130595,32627.5107751367,88912.34921372643,73841.92098907057
8,8.0,119840666.71088414,840653.416176102,5.588225444223831,159327.6492026362,2.118254220133987,1.7608298811069385
9,9.0,119838143.95999952,825329.565336231,5386.35235420982,156420.0522927041,2041.689895282475,1697.1489361655508
10,10.0,119821296.29899342,722969.2132427642,41331.34722658667,137001.0094969318,15664.391208341014,13019.150196965324
11,11.0,119730776.29776469,172309.09191568807,234777.42845130595,32627.5107751367,88912.34921372643,73841.92098907057
