,ID,CN0,CS0,CP0,KPS,KPN,KPP,gamma,kaPS,kaPN,kaPP,kbPS,kbPN,kbPP
0,0,0.0004761904761904762,9.523809523809524e-05,4.761904761904762e-06,332115.5762205248,332.1155762205,0.0,31.25,1000,200,0.0,0.003011,0.6022,10.0
1,1,0.0004761904761904762,9.523809523809524e-05,4.761904761904762e-06,332115.5762205248,332.1155762205,166.0577881103,31.25,1000,200,1.6605778811,0.003011,0.6022,0.01
2,2,0.0004761904761904762,9.523809523809524e-05,4.761904761904762e-06,332115.5762205248,332.1155762205,1660577.881102624,31.25,1000,200,16605.7788110262,0.003011,0.6022,0.01
