,ID,N,P,PP,PN,PPN,PNPN
0,0.0,119840669.33100311,840669.3310030721,0.0,159330.6689969276,0.0,0.0
1,1.0,119838143.95999952,825329.565336231,5386.35235420982,156420.0522927041,2041.689895282475,1697.1489361655508
2,2.0,119821296.29899342,722969.2132427642,41331.34722658667,137001.0094969318,15664.391208341014,13019.150196965324
3,3.0,119772797.56818621,428082.4285131104,144908.79916629684,81087.80511583638,54897.54161216026,45608.54240732923
4,4.0,119730776.29776469,172309.09191568807,234777.42845130595,32627.5107751367,88912.34921372643,73841.92098907057
