,ID,CN0,CS0,CP0,KPS,KPN,KPP,gamma,kaPS,kaPN,kaPP,kbPS,kbPN,kbPP
0,0,0.0005714285714285715,0.0,4.761904761904762e-06,332115.5762205248,332.1155762205,0.0,8.771929824561404,1000,200,0.0,0.003011,0.6022,10.0
1,1,0.0005714285714285715,0.0,4.761904761904762e-06,332115.5762205248,332.1155762205,1660.5778811026,8.771929824561404,1000,200,166.0577881103,0.003011,0.6022,0.1
2,2,0.0005714285714285715,0.0,4.761904761904762e-06,332115.5762205248,332.1155762205,16605.7788110262,8.771929824561404,1000,200,1660.5778811026,0.003011,0.6022,0.1
3,3,0.0005714285714285715,0.0,4.761904761904762e-06,332115.5762205248,332.1155762205,166057.7881102624,8.771929824561404,1000,200,16605.7788110262,0.003011,0.6022,0.1
4,4,0.0005714285714285715,0.0,4.761904761904762e-06,332115.5762205248,332.1155762205,1660577.881102624,8.771929824561404,1000,200,166057.7881102624,0.003011,0.6022,0.1
